"position"	"intensity"	"p.value <"
"XXX"	3205592	1.29419270168149	0.375732525549925
"XXX"	3260076.95662245	1.28363305104461	0.382810067095094
"XXX"	3263812	1.65232725856412	0.193783087506724
"XXX"	3266812	1.40612286981167	0.312261132972851
"XXX"	3283041.56230076	6.75567654816188	0.00189678113410526
"XXX"	3286862	2.20217637943520	0.0756730742009456
"XXX"	3295422	1.51811328020895	0.244401664637771
"XXX"	3321872	3.00667910014016	0.0246298445771877
"XXX"	3322522	2.50989809861081	0.0479008011777029
"XXX"	3323972	1.39400460160417	0.320471081165246
"XXX"	3326762.28538684	2.30999946812984	0.0639526654021459
"XXX"	3330102	2.15839919789396	0.0806273532825638
"XXX"	3340852	1.61766707047443	0.204625881153922
"XXX"	3348992	1.26106822644366	0.397672904339948
"XXX"	3353551.87342459	1.78828637608250	0.147411035302777
"XXX"	3366507.09134546	2.42713067216832	0.0535345242476573
"XXX"	3378052	1.69168698573048	0.179344902754579
"XXX"	3388952	5.37053888462188	0.00308580811369363
"XXX"	3429892	2.93626179935854	0.0272343798658098
"XXX"	3435370.37858113	2.30460817142678	0.0643206975624947
"XXX"	3436147.0246474	1.85095259685778	0.133567364040427
"XXX"	3437030.49233527	1.51726338473283	0.244741386631940
"XXX"	3451502	2.86902637077143	0.0297539846558899
"XXX"	3454702	1.99327376621232	0.105257197859751
"XXX"	3457116.92284396	1.95937362829212	0.112787702063811
"XXX"	3469602	2.00750734463713	0.102935764232936
"XXX"	3471752	0.976160437621252	0.619907708858251
"XXX"	3476782	2.02484852874131	0.0992554426294482
"XXX"	3489692.04966002	1.64411920106077	0.196104521133539
"XXX"	3498752	2.18411306598628	0.0774283045041474
"XXX"	3504662	1.64897483322445	0.194689012824505
"XXX"	3519802	2.99538779405961	0.0252809783993432
"XXX"	3525402	1.39964574339464	0.317073861223565
"XXX"	3532292	1.71178403786593	0.168275627777935
"XXX"	3532992	2.49184428156554	0.0490898281572913
"XXX"	3533392	10.6856853096085	0.000679443988336212
"XXX"	3533742	1.97289569249507	0.109616963451575
"XXX"	3534492	2.86260558107958	0.0301220168162387
"XXX"	3548132	3.81463214993542	0.00874784134982872
"XXX"	3550482	1.44647013765064	0.284092517623078
"XXX"	3563712	1.00094702803529	0.600798346686295
"XXX"	3569856.9421141	2.42710133790072	0.0535345242476573
"XXX"	3574852	1.63240697824281	0.199388500410497
"XXX"	3575744.28846542	7.69214549788486	0.00147212864139513
"XXX"	3576752	3.00047991157607	0.0249978767375365
"XXX"	3584302	1.16955488839876	0.478724910115222
"XXX"	3586452	1.22017734132396	0.430767488605158
"XXX"	3587978.27790481	1.38674809348794	0.323896611273108
"XXX"	3589052	2.05769301697343	0.094471024544914
"XXX"	3601122	2.27048601716884	0.0679443988336211
"XXX"	3611611.96875508	1.81100483171994	0.142145344393172
"XXX"	3615752	1.99682444669355	0.104662684369957
"XXX"	3621602	1.18849401858788	0.460408232596325
"XXX"	3635052	2.31525249038222	0.0634713925770744
"XXX"	3642282	2.20603008437164	0.0754182827053195
"XXX"	3648782	1.07707735689373	0.548367918919684
"XXX"	3653452	2.20964302267366	0.07502194037879
"XXX"	3656652	1.55567318292255	0.226424709113042
"XXX"	3668962	1.34122689774283	0.349998584491691
"XXX"	3670062	1.69447046144449	0.177391501288113
"XXX"	3674362	1.65335939825988	0.193528296011098
"XXX"	3681662	1.16170802403002	0.485207938170597
"XXX"	3685112	2.51691291900966	0.0473912181864508
"XXX"	3686662	2.76360926107254	0.03436854174334
"XXX"	3687762	2.69800337638748	0.0374543498570337
"XXX"	3698722	1.90655425895946	0.121988506072531
"XXX"	3700422	1.95499390280721	0.113467146052147
"XXX"	3708231.42516423	6.5469605397532	0.00192509130028593
"XXX"	3715972	2.60247108578601	0.0424652492710132
"XXX"	3719323.07169809	4.57246943705176	0.00486934858307618
"XXX"	3721502	2.17430976143787	0.0786739518160972
"XXX"	3731452	1.59817346766005	0.211448631203465
"XXX"	3738492	1.51133451573335	0.247091130424936
"XXX"	3744392	3.26735072482343	0.0172975115363927
"XXX"	3758242	1.78137468780783	0.148911474110353
"XXX"	3766342	1.96237339439762	0.112079947909294
"XXX"	3766892	2.0134325774679	0.101293774594457
"XXX"	3767792	23.5950258546996	0.000113240664722702
"XXX"	3768142	4.22461834699417	0.00639809755683266
"XXX"	3768780.92890213	2.01987981298153	0.0999348866177844
"XXX"	3771396.81637772	3.25777532423681	0.0173824420349347
"XXX"	3775116.96168194	2.16959811769695	0.079296775472072
"XXX"	3778702	2.09030556407616	0.0892053336353084
"XXX"	3794562	1.03267120637836	0.57713104775925
"XXX"	3802402	1.88284195364658	0.126433202162897
